publisher,release_date,metascore,user_score,critic_positive,critic_neutral,critic_negative,user_positive,user_neutral,user_negative,name,platform,developer,genre(s)
10tons,2017/9/28,76,7.8,2,2,0,0,1,0,Sparkle 2,Switch,10tons,Puzzle
10tons,2017/10/19,67,6.9,1,8,0,2,1,0,JYDGE,Switch,10tons,Action
10tons,2017/11/9,66,6.9,2,3,1,1,1,0,Spellspire,Switch,10tons,Role-Playing
10tons,2018/1/19,51,5.6,0,5,3,0,0,0,Baseball Riot,Switch,10tons,Puzzle
10tons,2018/3/16,75,7.3,7,7,0,3,0,0,Tesla vs Lovecraft,XONE,10tons,Action
11 bit studios,2011/4/8,80,7.3,30,6,0,27,10,5,Anomaly: Warzone Earth,PC,11 bit studios,Strategy
11 bit studios,2013/5/15,77,7.7,21,5,1,5,7,2,Anomaly 2,PC,11 bit studios,Action
11 bit studios,2014/5/29,70,6.5,6,8,0,0,3,0,Anomaly Defenders,PC,11 bit studios,Strategy
11 bit studios,2014/9/17,68,7.6,4,4,0,0,0,0,SPACECOM,PC,FLOW COMBINE,Strategy
11 bit studios,2014/11/14,83,8.4,57,5,0,108,22,12,This War of Mine,PC,11 bit studios,Action
11 bit studios,2017/3/30,71,7.4,10,8,1,4,2,0,Beat Cop,PC,Pixel Crow,Simulation
11 bit studios,2017/11/16,72,6.8,3,7,0,0,0,0,Tower 57,PC,Pixwerk,Action
11 bit studios,2018/4/24,84,8.4,62,4,0,70,11,12,Frostpunk,PC,11 bit studios,Action Adventure
11 bit studios,2018/11/5,83,8.0,22,1,0,9,4,0,Moonlighter,Switch,"11 bit studios, Digital Sun",Role-Playing
11 bit studios,2018/11/27,80,8.1,13,2,0,0,0,0,This War of Mine: Complete Edition,Switch,11 bit studios,Strategy
1C,2009/8/7,73,8.2,4,2,0,6,1,1,Death to Spies: Moment of Truth,PC,Haggard Games,Action Adventure
1C,2009/9/8,80,8.2,38,5,0,5,0,1,IL-2 Sturmovik: Birds of Prey,X360,Gaijin Entertainment,Simulation
1C,2010/6/28,60,5.5,1,5,0,1,1,1,Reign: Conflict of Nations,PC,Lesta Studio,Strategy
1C,2010/9/17,78,8.4,9,4,0,6,1,1,King's Bounty: Crossworlds,PC,Katauri Interactive,Strategy
1C,2011/2/25,77,8.0,13,8,0,20,5,2,Men of War: Assault Squad,PC,"THQ, 1C, 1C Company",Strategy
1C,2011/9/8,68,5.2,5,12,2,5,1,3,Men of War: Vietnam,PC,Best Way,Strategy
1C,2011/9/29,60,6.1,1,8,1,2,0,1,Off-Road Drive,PC,Avalon Style,Driving
1C,2012/10/25,74,7.0,8,6,0,3,3,2,King's Bounty: Warriors of the North,PC,"Katauri Interactive, Katuri Interactive",Strategy
1C,2014/3/20,68,6.3,3,13,1,13,4,21,Men of War: Assault Squad 2,PC,"1C, 1C Company",Strategy
1C,2014/5/16,73,6.3,6,7,0,5,3,5,King's Bounty: Dark Side,PC,1C-Softclub,Strategy
1C Company,2017/2/16,52,6.3,2,3,5,3,3,4,Realpolitiks,PC,Jujubee S.A.,Strategy
1C Company,2017/9/28,69,6.3,2,3,0,4,1,2,Fall of Light,PC,RuneHeads,Role-Playing
1C Company,2018/5/22,77,7.4,17,5,0,9,6,3,Ancestors Legacy,PC,Destructive Creations,Strategy
1C Company,2018/8/16,82,7.1,11,3,0,5,1,0,Fell Seal: Arbiter's Mark,PC,6 Eyes Studio,Strategy
1C Company,2018/9/26,70,5.8,4,7,0,1,1,0,Deep Sky Derelicts,PC,Snowhound Games,Role-Playing
2K Games,2005/3/22,50,6.5,1,2,4,4,0,1,Ford Racing 3,PS2,Razorworks Studios,Driving
2K Games,2005/4/6,69,7.8,18,25,3,6,1,1,Close Combat: First to Fight,XBOX,Destineer,Action
2K Games,2005/4/18,63,5.8,7,22,4,17,17,26,Stronghold 2,PC,FireFly Studios,Strategy
2K Games,2005/4/19,58,7.3,3,0,2,4,1,1,Ford Mustang: The Legend Lives,PS2,Eutechnyx,Driving
2K Games,2005/4/27,38,3.6,0,2,7,0,0,0,Motocross Mania 3,XBOX,Deibus Studios,Driving
2K Games,2005/10/4,62,8.6,1,13,1,5,0,1,Conflict: Global Terror,PS2,Pivotal Games,Action
2K Games,2005/10/17,66,6.9,5,9,3,2,1,0,Shattered Union,XBOX,PopTop Software,Strategy
2K Games,2005/10/19,74,7.1,16,15,0,18,14,5,Serious Sam II,PC,Croteam,Action
2K Games,2005/10/24,77,8.1,40,10,1,20,1,5,Call of Cthulhu: Dark Corners of the Earth,XBOX,Headfirst Productions,Action Adventure
2K Games,2005/10/24,61,6.2,2,24,3,2,2,2,Vietcong 2,PC,Pterodon,Action
2K Games,2005/10/25,94,8.3,50,0,0,121,26,42,Sid Meier's Civilization IV,PC,Firaxis Games,Strategy
2K Games,2005/11/2,48,5.5,0,7,8,1,0,1,Zathura,XBOX,High Voltage Software,Action Adventure
2K Games,2006/2/28,62,8.1,12,34,7,14,5,1,24: The Game,PS2,SCE Studio Cambridge,Action Adventure
2K Games,2006/3/20,94,8.7,90,0,0,294,32,22,The Elder Scrolls IV: Oblivion,X360,Bethesda Softworks,Role-Playing
2K Games,2006/4/14,44,6.0,1,1,5,1,0,0,Hummer Badlands,XBOX,Eutechnyx,Driving
2K Games,2006/5/15,54,8.1,5,24,14,7,1,0,The Da Vinci Code,PS2,Double Helix Games,Action
2K Games,2006/7/24,84,7.9,35,2,0,9,0,0,Sid Meier's Civilization IV: Warlords,PC,Firaxis Games,Strategy
2K Games,2006/7/24,67,6.9,12,32,2,3,2,2,CivCity: Rome,PC,"Firaxis Games, FireFly Studios",Strategy
2K Games,2006/10/17,51,6.6,0,8,6,2,0,3,Family Guy,PSP,High Voltage Software,Adventure
2K Games,2006/10/17,77,5.6,18,13,0,12,11,30,Sid Meier's Railroads!,PC,Firaxis Games,Strategy
2K Games,2006/10/23,57,7.2,2,10,7,6,3,1,Stronghold Legends,PC,FireFly Studios,Strategy
2K Games,2007/2/13,54,6.6,2,25,10,3,4,0,Ghost Rider,PS2,Climax Group,Action
2K Games,2007/2/26,81,8.1,24,5,0,24,15,5,Jade Empire: Special Edition,PC,BioWare,Role-Playing
2K Games,2007/6/25,82,8.1,55,7,1,49,7,8,The Darkness,X360,Starbreeze,Action
2K Games,2007/7/23,86,8.5,26,2,0,27,4,0,Sid Meier's Civilization IV: Beyond the Sword,PC,Firaxis Games,Strategy
2K Games,2007/8/21,96,8.9,88,0,0,494,54,54,BioShock,X360,"Irrational Games, 2K Marin",Action
2K Games,2008/7/8,84,8.0,52,3,0,39,10,9,Sid Meier's Civilization Revolution,X360,Firaxis Games,Strategy
2K Games,2008/9/22,83,6.7,28,4,0,10,10,7,Sid Meier's Civilization IV: Colonization,PC,Firaxis Games,Strategy
2K Games,2009/8/26,71,7.3,3,4,0,0,1,0,NBA 2K10: Draft Combine,X360,Visual Concepts,Sports
2K Games,2009/10/20,84,8.2,80,3,0,130,35,13,Borderlands,X360,Gearbox Software,Action
2K Games,2009/11/24,81,8.0,21,2,0,9,2,1,Borderlands: The Zombie Island of Dr. Ned,X360,Gearbox Software,Action
2K Games,2009/12/29,63,5.5,5,12,3,3,4,2,Borderlands: Mad Moxxi's Underdome Riot,X360,Gearbox Software,Action
2K Games,2010/2/9,88,8.2,92,1,0,71,23,1,BioShock 2,X360,2K Marin,Action
2K Games,2010/2/23,85,8.0,23,2,0,7,0,0,Borderlands: The Secret Armory of General Knoxx,X360,Gearbox Software,Action
2K Games,2010/4/20,79,7.8,10,2,0,10,1,0,The Misadventures of P.B. Winterbottom,PC,The Odd Gentlemen,Miscellaneous
2K Games,2010/8/23,77,8.1,35,9,2,152,73,37,Mafia II,PC,2K Czech,Action Adventure
2K Games,2010/8/31,82,8.7,9,3,0,4,0,0,BioShock 2: Minerva's Den,X360,2K Marin,Action
2K Games,2010/9/7,67,4.7,1,2,1,0,1,2,Mafia II: Jimmy's Vendetta,PS3,2K Czech,Action Adventure
2K Games,2010/9/21,90,8.0,66,4,0,273,120,139,Sid Meier's Civilization V,PC,Firaxis Games,Strategy
2K Games,2010/9/28,72,7.0,8,9,1,3,2,1,Borderlands: Claptrap's New Robot Revolution,X360,Gearbox Software,Action
2K Games,2010/11/23,61,5.3,2,4,2,0,1,0,Mafia II: Joe's Adventures,X360,2K Czech,Action Adventure
2K Games,2011/6/13,54,5.8,7,24,17,222,90,123,Duke Nukem Forever,PC,"Gearbox Software, 3D Realms",Action
2K Games,2011/12/13,52,7.0,2,0,2,8,2,2,Duke Nukem Forever: The Doctor Who Cloned Me,PC,Gearbox Software,Action
2K Games,2012/2/7,79,7.8,22,6,0,17,11,1,The Darkness II,PS3,Digital Extremes,Action
2K Games,2012/6/18,80,7.7,42,10,1,32,20,8,Sid Meier's Civilization V: Gods & Kings,PC,Firaxis Games,Strategy
2K Games,2012/6/26,76,8.3,40,19,0,64,12,4,Spec Ops: The Line,X360,Yager,Action
2K Games,2012/9/18,89,8.3,58,1,0,185,37,17,Borderlands 2,X360,Gearbox Software,Action
2K Games,2012/10/9,90,8.3,34,1,0,82,11,6,XCOM: Enemy Unknown,X360,Firaxis Games,Strategy
2K Games,2012/10/16,85,8.2,4,0,0,2,0,0,Borderlands 2: Captain Scarlett and Her Pirate's Booty,PS3,Gearbox Software,Action
2K Games,2012/11/20,83,8.2,9,1,0,10,2,1,Borderlands 2: Mr. Torgue's Campaign of Carnage,X360,Gearbox Software,Action
2K Games,2013/1/15,72,6.2,5,4,1,1,6,0,Borderlands 2: Sir Hammerlock's Big Game Hunt,X360,Gearbox Software,Action
2K Games,2013/3/5,48,3.5,0,4,3,5,8,11,MLB 2K13,X360,Visual Concepts,Sports
2K Games,2013/3/25,94,8.6,68,0,0,1117,303,150,BioShock Infinite,PC,Irrational Games,Action
2K Games,2013/6/25,87,8.5,4,0,0,11,0,0,Borderlands 2: Tiny Tina's Assault on Dragon Keep,PC,Gearbox Software,Action
2K Games,2013/7/8,85,8.6,52,2,1,74,14,11,Sid Meier's Civilization V: Brave New World,PC,Firaxis Games,Strategy
2K Games,2013/7/30,69,6.3,2,3,0,11,6,1,BioShock Infinite: Clash in the Clouds,PC,Irrational Games,Action
2K Games,2013/8/20,69,6.8,8,14,0,9,8,1,The Bureau: XCOM Declassified,PS3,2K Marin,Action
2K Games,2013/8/27,71,6.6,3,4,0,2,3,3,Sid Meier's Ace Patrol,PC,Firaxis Games,Strategy
2K Games,2013/10/22,58,5.8,0,5,0,0,3,0,Borderlands 2: Headhunter Pack 1 - TK Baha's Bloody Harvest,X360,Gearbox Software,Action
2K Games,2013/10/29,75,7.6,28,15,0,19,8,5,WWE 2K14,X360,Yuke's,Action
2K Games,2013/11/5,59,6.7,1,2,1,3,0,0,Sid Meier's Ace Patrol: Pacific Skies,PC,Firaxis Games,Strategy
2K Games,2013/11/11,86,8.0,52,2,0,79,21,13,XCOM: Enemy Within,PC,Firaxis Games,Sci-Fi
2K Games,2013/11/12,76,8.1,5,2,0,11,3,0,BioShock Infinite: Burial at Sea - Episode One,PS3,Irrational Games,Action
2K Games,2014/2/11,66,7.1,0,4,0,0,0,0,Borderlands 2: Headhunter Pack 4 - Mad Moxxi and the Wedding Day Massacre,X360,Gearbox Software,Action
2K Games,2014/3/25,80,8.5,25,8,1,47,13,7,BioShock Infinite: Burial at Sea - Episode Two,PC,Irrational Games,Shooter
2K Games,2014/10/14,77,6.3,15,9,0,10,14,3,Borderlands: The Pre-Sequel,PS3,2K Australia,Action
2K Games,2014/10/23,81,5.5,65,12,1,68,114,141,Sid Meier's Civilization: Beyond Earth,PC,Firaxis Games,Strategy
2K Games,2015/2/10,74,5.1,19,12,0,41,27,28,Evolve,XONE,Turtle Rock Studios,Action
2K Games,2015/3/12,64,4.3,11,40,7,9,7,13,Sid Meier's Starships,PC,Firaxis Games,Strategy
2K Games,2015/3/24,80,7.9,8,3,0,26,3,2,Borderlands: The Handsome Collection,XONE,"Gearbox Software, Iron Galaxy Studios",Miscellaneous
2K Games,2015/3/24,73,5.3,1,4,0,0,0,0,Borderlands: The Pre-Sequel - Claptastic Voyage and Ultimate Vault Hunter Upgrade Pack 2,PC,2K Australia,Action
2K Games,2015/10/9,79,6.0,29,10,0,11,2,5,Sid Meier's Civilization: Beyond Earth - Rising Tide,PC,Firaxis Games,Strategy
2K Games,2016/3/22,82,8.1,5,1,1,11,1,1,XCOM: Enemy Unknown Plus,VITA,Firaxis Games,Strategy
2K Games,2016/5/3,71,7.1,6,14,0,26,7,4,Battleborn,XONE,Gearbox Software,Sci-Fi
2K Games,2016/9/13,84,8.7,16,1,0,11,0,0,BioShock: The Collection,XONE,2K Games,Action
2K Games,2016/9/16,88,6.3,47,0,0,33,15,22,NBA 2K17,PS4,Visual Concepts,Sports
2K Games,2016/9/27,87,7.6,16,1,0,12,2,2,XCOM 2,XONE,Firaxis Games,Strategy
2K Games,2016/10/7,68,5.2,21,46,0,122,108,126,Mafia III,PS4,Hangar 13,Action Adventure
2K Games,2016/10/28,58,5.8,2,6,2,0,0,1,Carnival Games VR,PS4,Cat Daddy Games,Action
2K Games,2017/3/27,67,4.7,1,3,0,2,1,1,"Mafia III: Faster, Baby!",PS4,Hangar 13,Action Adventure
2K Games,2017/8/29,88,7.8,39,0,0,23,2,9,XCOM 2: War of the Chosen,PC,Firaxis Games,Strategy
2K Games,2017/9/15,74,4.3,11,3,1,13,14,23,NBA 2K18,Switch,Visual Concepts,Sports
2K Games,2017/10/13,66,5.5,22,28,4,14,13,20,WWE 2K18,PS4,Yuke's,Sports
2K Games,2018/2/8,79,6.2,36,11,1,12,7,16,Sid Meier's Civilization VI: Rise and Fall,PC,Firaxis Games,Strategy
2K Games,2018/8/28,75,6.0,7,5,0,8,1,2,The Golf Club 2019 featuring PGA Tour,PS4,HB Studios Multimedia,Sports
2K Games,2018/9/7,82,4.3,4,2,0,6,1,3,NBA 2K19,Switch,Visual Concepts,Sports
2K Games,2018/10/5,76,5.6,30,13,0,22,6,13,WWE 2K19,PS4,"Yuke's, Visual Concepts",Sports
2K Games,2018/10/16,62,6.4,5,6,1,3,1,1,NBA 2K Playgrounds 2,XONE,Saber Interactive,Sports
2K Games,2018/11/6,49,3.5,0,5,2,1,0,2,Carnival Games for Nintendo Switch,Switch,Mass Media,Miscellaneous
2K Games,2018/11/16,86,8.0,30,1,0,21,1,7,Sid Meier's Civilization VI,Switch,"Firaxis Games, Aspyr",Strategy
2K Games,2018/12/14,72,7.4,13,21,0,17,2,1,Borderlands 2 VR,PS4,Gearbox Software,Action
2K Sports,2005/9/6,83,7.5,28,4,0,9,3,2,NHL 2K6,XBOX,2K Sports,Sports
2K Sports,2005/10/18,60,8.7,2,12,3,3,1,0,World Poker Tour,PS2,Coresoft,Miscellaneous
2K Sports,2005/10/18,88,6.8,4,0,0,2,1,0,Major League Baseball 2K5: World Series Edition,XBOX,Kush Games,Sports
2K Sports,2005/11/16,81,8.7,29,4,0,14,1,0,NBA 2K6,X360,Visual Concepts,Sports
2K Sports,2005/11/16,72,7.1,26,22,1,10,2,2,Amped 3,X360,2K Sports,Sports
2K Sports,2005/11/21,82,8.4,16,1,0,4,0,0,College Hoops 2K6,XBOX,2K Sports,Sports
2K Sports,2006/1/24,39,7.3,0,7,18,3,2,0,Torino 2006 - the Official Video Game of the XX Olympic Winter Games,PS2,49Games,Sports
2K Sports,2006/4/3,71,5.7,7,14,0,1,4,2,Major League Baseball 2K6,XBOX,Kush Games,Sports
2K Sports,2006/9/25,83,8.6,8,0,0,3,0,0,NBA 2K7,XBOX,"Kush Games, Visual Concepts",Sports
2K Sports,2006/10/2,73,8.0,6,6,0,2,0,1,NHL 2K7,PS2,Kush Games,Sports
2K Sports,2006/11/20,82,8.2,21,1,0,7,0,0,College Hoops 2K7,X360,2K Sports,Sports
2K Sports,2007/2/26,79,7.1,25,6,0,12,2,7,Major League Baseball 2K7,X360,Kush Games,Sports
2K Sports,2007/3/16,70,7.2,2,6,0,2,1,2,Top Spin 2,PC,"Aspyr, 2K Sports",Sports
2K Sports,2007/6/25,79,8.4,21,2,0,7,1,0,The Bigs,X360,Blue Castle Games,Sports
2K Sports,2007/7/16,73,7.3,9,14,0,7,2,2,All-Pro Football 2K8,PS3,Visual Concepts,Sports
2K Sports,2007/10/2,81,6.8,30,3,0,10,2,4,NBA 2K8,X360,Visual Concepts,Sports
2K Sports,2007/10/3,80,8.8,8,2,0,7,0,0,MLB Power Pros,PS2,Konami,Sports
2K Sports,2007/11/19,81,6.9,18,3,0,7,1,2,College Hoops 2K8,X360,Visual Concepts,Sports
2K Sports,2008/3/3,63,7.6,0,10,0,10,2,2,Major League Baseball 2K8,WII,Kush Games,Sports
2K Sports,2008/6/10,56,6.4,5,32,8,5,0,3,Don King Presents: Prizefighter,X360,Venom Games,Sports
2K Sports,2008/7/29,79,8.7,12,4,0,7,0,0,MLB Power Pros 2008,WII,Konami,Sports
2K Sports,2008/10/20,80,8.5,5,1,0,3,0,0,NBA 2K9,PC,Visual Concepts,Sports
2K Sports,2009/1/26,49,6.5,0,3,5,0,0,1,MLB Front Office Manager,PS3,Blue Castle Games,Sports
2K Sports,2009/3/3,64,5.3,5,19,5,5,2,7,Major League Baseball 2K9,X360,2K Sports,Sports
2K Sports,2009/3/31,71,7.8,1,3,0,1,0,0,Don King Boxing,DS,Venom Games,Sports
2K Sports,2009/7/7,68,8.5,2,3,0,1,0,0,The Bigs 2,WII,Blue Castle Games,Sports
2K Sports,2009/9/15,62,5.8,1,10,1,0,0,0,NHL 2K11,WII,Visual Concepts,Sports
2K Sports,2009/10/6,83,7.8,28,2,0,13,1,1,NBA 2K10,PS3,Visual Concepts,Sports
2K Sports,2010/3/2,76,7.6,16,10,0,4,1,2,Major League Baseball 2K10,X360,Visual Concepts,Sports
2K Sports,2010/10/5,82,8.6,5,1,0,6,1,0,NBA 2K11,PC,Visual Concepts,Sports
2K Sports,2011/3/8,69,6.8,9,17,1,9,0,4,Major League Baseball 2K11,X360,Visual Concepts,Sports
2K Sports,2011/3/15,84,8.3,53,1,0,8,3,1,Top Spin 4,X360,2K Czech,Sports
2K Sports,2011/10/4,90,7.7,42,0,0,27,9,6,NBA 2K12,X360,Visual Concepts,Sports
2K Sports,2012/10/2,90,8.0,26,0,0,16,6,4,NBA 2K13,PS3,Visual Concepts,Sports
2K Sports,2013/11/12,85,6.5,19,1,0,23,12,30,NBA 2K14,PS4,Visual Concepts,Sports
2K Sports,2014/10/7,83,6.9,45,5,0,43,19,21,NBA 2K15,PS4,Visual Concepts,Sports
2K Sports,2015/4/28,70,5.6,1,4,0,4,4,6,WWE 2K15,PC,"Yuke's, QLOC",Sports
2K Sports,2015/10/27,73,7.2,32,12,3,39,9,12,WWE 2K16,PS4,Yuke's,Action
2K Sports,2016/10/11,69,6.1,22,27,3,8,10,6,WWE 2K17,PS4,Yuke's,Sports
3DO,1996/4/30,70,8.0,3,2,1,5,0,0,Chaos Overlords,PC,Stick Man Games,Strategy
3DO,2000/2/29,50,7.0,2,2,4,2,0,1,Army Men: World War,PS,3DO,Action
3DO,2000/7/14,77,7.8,8,1,1,0,0,0,Army Men: Air Combat,N64,3DO,Action
3DO,2000/9/27,67,7.8,1,6,0,0,1,0,Heroes Chronicles: Warlords of the Wasteland,PC,3DO,Strategy
3DO,2000/9/27,64,6.8,1,6,0,1,0,0,Heroes Chronicles: Conquest of the Underworld,PC,3DO,Strategy
3DO,2000/11/21,48,7.1,1,3,4,1,1,0,Army Men: Sarge's Heroes 2,PS,3DO,Action
3DO,2000/12/20,65,5.9,7,7,2,2,0,2,World Destruction League: Thunder Tanks,PS2,3DO,Driving
3DO,2001/3/17,49,5.4,1,6,5,1,3,0,Warriors of Might and Magic,PS2,3DO,Action Adventure
3DO,2001/3/23,75,8.0,8,6,0,1,0,0,Army Men: Air Attack 2,PS2,3DO,Action
3DO,2001/3/25,39,3.8,0,2,11,1,1,2,Army Men: Green Rogue,PS2,3DO,Action
3DO,2001/3/26,76,7.9,12,4,1,4,2,1,High Heat Major League Baseball 2002,PS2,3DO,Sports
3DO,2001/4/18,64,6.0,4,6,2,5,2,5,Heroes of Might and Magic: Quest for the Dragon Bone Staff,PS2,New World Computing,Role-Playing
3DO,2001/6/10,57,8.0,1,5,1,0,0,0,Army Men Advance,GBA,DC Studios,Action
3DO,2001/6/18,53,7.7,0,7,3,6,1,2,Legends of Might and Magic,PC,3DO,Action
3DO,2001/6/27,59,5.5,0,7,2,1,0,2,WarJetz,PS2,3DO,Action
3DO,2001/9/10,53,6.7,1,10,7,2,0,1,Portal Runner,PS2,3DO,Action
3DO,2001/11/27,50,6.3,0,5,4,3,0,0,Dragon Rage,PS2,3DO,Action
3DO,2001/12/26,44,5.7,2,3,9,3,0,2,Jonny Moseley Mad Trix,PS2,3DO,Sports
3DO,2002/1/21,27,3.8,0,0,10,4,1,10,GoDai: Elemental Force,PS2,3DO,Action
3DO,2002/2/9,84,7.9,21,2,0,4,0,1,High Heat Major League Baseball 2003,PS2,3DO,Sports
3DO,2002/3/24,67,7.7,2,7,0,2,1,1,Army Men: RTS,PC,Pandemic Studios,Strategy
3DO,2002/3/29,84,7.5,16,2,0,19,7,10,Heroes of Might and Magic IV,PC,New World Computing,Strategy
3DO,2002/3/29,55,4.8,1,11,5,0,1,5,Might and Magic IX,PC,3DO,Role-Playing
3DO,2002/6/17,37,5.9,0,3,9,2,0,3,Shifters,PS2,3DO,Action Adventure
3DO,2002/9/26,64,7.7,2,6,1,1,1,0,Heroes of Might and Magic IV: The Gathering Storm,PC,3DO,Strategy
3DO,2003/2/23,58,7.4,1,6,4,1,1,0,Heroes of Might and Magic IV: Winds of War,PC,3DO,Strategy
3DO,2003/3/5,83,8.4,9,5,0,6,1,0,High Heat Major League Baseball 2004,XBOX,3DO,Sports
505 Games,2007/9/28,67,6.4,1,5,0,0,2,0,ArmA: Queen's Gambit,PC,"Bohemia Interactive, Black Element Software",Action
505 Games,2009/5/26,32,1.8,0,0,4,0,1,1,Rolling Stone: Drum King,WII,505 Games,Action
505 Games,2010/6/1,54,7.6,2,20,7,21,3,2,Backbreaker,X360,NaturalMotion,Sports
505 Games,2010/6/15,40,4.5,0,1,10,0,1,0,Naval Assault: The Killing Tide,X360,Artech Studios,Simulation
505 Games,2010/6/25,43,5.8,0,13,18,4,4,4,Naughty Bear,PS3,Artificial Mind and Movement,Action
505 Games,2010/8/17,49,4.4,0,14,11,0,0,1,Top Gun,PS3,Doublesix,Action
505 Games,2010/8/24,55,2.0,1,3,2,0,0,0,Grease: The Official Video Game,WII,Zoe Mode,Action
505 Games,2010/9/28,33,6.8,0,1,3,2,1,1,MorphX,X360,"Buka Entertainment, Targem Games",Action
505 Games,2011/6/3,59,7.0,0,4,0,20,4,11,Dawn of Fantasy,PC,Reverie World Studios Inc.,Strategy
505 Games,2011/6/29,66,5.0,5,12,2,2,0,1,Backbreaker: Vengeance,X360,NaturalMotion,Sports
505 Games,2011/9/6,50,5.6,0,6,6,2,0,1,Rugby World Cup 2011,PS3,HB Studios Multimedia,Sports
505 Games,2011/9/20,49,6.2,0,9,8,1,0,3,Supremacy MMA,X360,Kung Fu Factory,Action
505 Games,2011/10/11,48,4.1,0,6,4,0,1,2,Michael Phelps: Push the Limit,X360,Blitz Games,Sports
505 Games,2011/10/25,37,4.8,0,3,9,2,1,4,Blackwater,X360,Zombie Studios,Action
505 Games,2012/3/6,54,3.5,0,5,3,1,2,2,Top Gun: Hard Lock,X360,505 Games,Action
505 Games,2012/3/27,43,6.7,0,3,3,1,0,0,Supremacy MMA: Unrestricted,VITA,Kung Fu Factory,Action
505 Games,2012/3/28,57,5.5,4,12,8,5,0,0,Wrecked: Revenge Revisited,X360,Supersonic Software,Simulation
505 Games,2012/4/25,47,5.4,1,3,4,0,2,1,Deep Black: Episode 1,X360,Biart,Action
505 Games,2012/5/2,70,6.8,8,13,0,15,5,3,Sniper Elite V2,PS3,Rebellion,Action
505 Games,2012/7/24,54,5.9,0,4,2,4,0,0,Adidas miCoach,X360,Chromativity,Sports
505 Games,2012/10/9,47,8.0,0,12,7,5,1,0,Naughty Bear: Panic in Paradise,X360,Behaviour Interactive,Action
505 Games,2012/11/18,50,5.2,0,8,2,2,0,1,Funky Barn,WIIU,Tantalus,Simulation
505 Games,2013/5/3,41,3.3,0,3,9,2,0,5,Way of the Dogg,X360,Echo Peak,General
505 Games,2013/8/7,86,8.7,52,4,0,66,5,0,Brothers: A Tale of Two Sons,X360,Starbreeze,Action Adventure
505 Games,2013/8/13,75,6.3,12,6,0,34,12,11,Payday 2,X360,Overkill Software,Action
505 Games,2013/9/20,65,7.1,0,4,0,15,4,1,Marlow Briggs and the Mask of Death,PC,ZootFly,Action
505 Games,2013/9/20,34,2.9,0,2,15,6,5,46,Takedown: Red Sabre,PC,Serellan LLC,Action
505 Games,2013/10/23,60,7.0,2,15,2,22,27,7,How to Survive,PC,EKO Software,Action Adventure
505 Games,2013/12/3,64,6.7,5,20,1,8,2,0,Tiny Brains,PS4,Spearhead Games,Action
505 Games,2014/1/28,32,2.2,0,0,11,6,1,7,Rekoil,PC,Plastic Piranha,Action
505 Games,2014/1/29,31,5.1,0,1,4,2,0,2,Rekoil: Liberator,X360,Plastic Piranha,Shooter
505 Games,2014/9/23,77,7.3,7,2,0,2,2,0,DG2: Defense Grid 2,PS4,Hidden Path Entertainment,Strategy
505 Games,2014/11/4,65,6.3,0,8,0,0,2,1,How to Survive: Storm Warning Edition,PS4,EKO Software,Action Adventure
505 Games,2014/11/27,78,6.8,11,2,0,3,2,2,Joe Dever's Lone Wolf HD Remastered,PC,Forge Reply,Action
505 Games,2015/3/10,74,7.0,5,4,0,1,3,0,Sniper Elite III: Ultimate Edition,PS4,Rebellion,Action
505 Games,2015/6/16,71,4.2,13,17,0,9,3,13,Payday 2: Crimewave Edition,PS4,Overkill Software,Action
505 Games,2015/7/2,56,3.1,0,5,0,0,0,3,How to Survive: Third Person Standalone,PC,EKO Software,Action Adventure
505 Games,2015/7/7,85,8.5,47,3,0,293,20,11,Rocket League,PS4,"Psyonix, Panic Button",Racing
505 Games,2016/2/16,53,3.1,0,6,1,0,0,5,Pixel Piracy,XONE,Abstraction Games,Strategy
505 Games,2016/3/10,68,7.0,3,11,0,2,1,0,The Guest,PC,Team Gotham,First-Person
505 Games,2016/3/16,79,7.2,5,0,0,1,0,0,Joe Dever's Lone Wolf Console Edition,PS4,Forge Reply,Action
505 Games,2016/3/28,64,5.3,7,32,1,3,1,2,ADR1FT,PC,Three One Zero,Action
505 Games,2016/9/8,69,6.9,2,3,0,3,1,0,How to Survive 2,PC,EKO Software,Action Adventure
