name,count
Nintendo,548
Ubisoft,449
SCEA,428
Sega,355
Electronic Arts,343
Microsoft Game Studios,314
Activision,310
Konami,302
Capcom,270
THQ,249
Square Enix,211
Atari,189
EA Games,123
Telltale Games,123
NIS America,117
EA Sports,114
Paradox Interactive,112
Warner Bros. Interactive Entertainment,110
Atlus,106
Namco Bandai Games,102
Eidos Interactive,101
Midway,96
2K Games,91
Bandai Namco Games,89
Majesco Games,82
Bethesda Softworks,80
Namco,80
Codemasters,79
Focus Home Interactive,79
XSEED Games,79
Namco Bandai Games America,71
Strategy First,70
Aksys Games,69
Sierra Entertainment,68
LucasArts,65
DreamCatcher Interactive,56
Koei,56
Deep Silver,55
Acclaim,54
505 Games,51
Atlus Co.,51
D3Publisher,50
Disney Interactive Studios,50
Natsume,49
Koei Tecmo Games,48
Kalypso,47
Devolver Digital,46
VU Games,45
cdv Software,44
Rockstar Games,44
Tecmo,44
Sony Online Entertainment,42
Crave,41
Sony Interactive Entertainment,40
2K Sports,39
Bandai,39
Zen Studios,38
Blizzard Entertainment,37
Take-Two Interactive,37
Team 17,37
The Adventure Company,36
Agetec Inc.,34
Interplay,34
Gathering,32
Infogrames,32
Daedalic Entertainment,30
SouthPeak Games,30
3DO,27
Rising Star Games,26
Encore Software,25
Ignition Entertainment,25
Global Star Software,24
Stardock,24
Viva Media,24
Aspyr,23
Bam Entertainment,22
Idea Factory,22
Nicalis,21
Adult Swim,20
Arc System Works,20
Slitherine,20
SNK Playmore,20
Activision Value,19
Nordic Games Publishing,19
TDK Mediactive,19
Maximum Games,18
tinyBuild,18
Tri Synergy,18
Empire Interactive,17
Got Game Entertainment,17
Iceberg Interactive,17
JoWooD Entertainment AG,17
NCSOFT,17
Conspiracy Entertainment,16
Kemco,16
Meridian4,16
Curve Digital,15
Digerati Distribution,15
Enlight Software,15
Gambitious,15
Mastertronic,15
Matrix Games,15
Microids,15
Gameloft,14
Her Interactive,14
Hudson Entertainment,14
Mastiff,14
Plug In Digital,14
Tecmo Koei America Corp.,14
EA Sports Big,13
Out Of The Park Developments,13
PopCap,13
PQube,13
Ripstone,13
Bigben Interactive,12
Klei Entertainment,12
SegaSoft,12
Sierra Online,12
